"","quarter","real_output_pc","real_inv_pc","real_gov_pc","real_labor_inp"
"1",1980 Q1,10.7911094443751,9.29147672009618,9.09153746653756,5.81371173614353
"2",1980 Q2,10.7593173163768,9.21142777329901,9.13287103223244,5.79128629850792
"3",1980 Q3,10.7557717199049,9.17078102843788,9.13906232653718,5.78613071587027
"4",1980 Q4,10.7720907574845,9.22776584212812,9.11704224677266,5.79423594063808
"5",1981 Q1,10.7849078890201,9.28848560347899,9.11605913180273,5.80465732021831
"6",1981 Q2,10.7722932889232,9.24944398878191,9.12545708866491,5.78614026934106
"7",1981 Q3,10.7837628524825,9.28283587843466,9.11928401483399,5.7957117961134
"8",1981 Q4,10.7671097906524,9.25562032599962,9.11798771984842,5.78289876120709
"9",1982 Q1,10.7523091518891,9.19360757043481,9.11801137196908,5.76577357455875
"10",1982 Q2,10.7552540180604,9.19865183084559,9.12051044959812,5.76888079234424
"11",1982 Q3,10.7495073499781,9.1913014925474,9.10329418431659,5.76108217036907
"12",1982 Q4,10.7495013762121,9.15970315460594,9.11264442408634,5.75485554591505
"13",1983 Q1,10.7598257276659,9.17903984795134,9.12002444953804,5.75926850858806
"14",1983 Q2,10.782099233216,9.23798598934295,9.10463232981769,5.76767550175881
"15",1983 Q3,10.8011163123294,9.28622468720629,9.09371743944758,5.78316225081696
"16",1983 Q4,10.8211648960666,9.35047520417922,9.05143427546723,5.79529844565676
"17",1984 Q1,10.8375355995777,9.41133872757726,9.03082668447824,5.80804283215248
"18",1984 Q2,10.853199083412,9.43787143708167,9.04344970801922,5.82247339292666
"19",1984 Q3,10.8604101646059,9.45144213565118,9.04495370242901,5.82442326306106
"20",1984 Q4,10.8674563498094,9.45790716282336,9.0500058983862,5.82613084825236
"21",1985 Q1,10.877399568233,9.44943818295145,9.07182756066025,5.83207792508243
"22",1985 Q2,10.8844631248617,9.46983288118156,9.06540121330672,5.8330829101364
"23",1985 Q3,10.9007519668295,9.48209850376252,9.08722622999392,5.83714130571116
"24",1985 Q4,10.9035131954802,9.49285576523768,9.08467887761303,5.8458963862361
"25",1986 Q1,10.9084513657283,9.49326020566497,9.09748514867808,5.84441439449971
"26",1986 Q2,10.9134357291221,9.49421642249209,9.10240334277365,5.84851850437439
"27",1986 Q3,10.9256732124815,9.50516050779433,9.11141648541767,5.85135752274092
"28",1986 Q4,10.9270267714227,9.497803850579,9.11704536643296,5.85685252966817
"29",1987 Q1,10.9269256911664,9.50222129002566,9.12172891346995,5.86422273273173
"30",1987 Q2,10.9369967830006,9.51305220720125,9.12702971107564,5.85506978313759
"31",1987 Q3,10.945373082887,9.52275169078646,9.1278631145245,5.87688711784287
"32",1987 Q4,10.9576803445455,9.55198488018054,9.15023921901845,5.87622848281313
"33",1988 Q1,10.9632078635979,9.52388201331065,9.1684960230331,5.88188157867854
"34",1988 Q2,10.9731330142984,9.5379640966934,9.18331071971842,5.88954730438309
"35",1988 Q3,10.9757908136973,9.53589191688164,9.18009694943947,5.88789141339756
"36",1988 Q4,10.9888935696587,9.55259224802887,9.19909300674227,5.89223488597797
"37",1989 Q1,10.9956730959664,9.56643223491401,9.20312789963833,5.89717753727573
"38",1989 Q2,11.0026897170072,9.5630169745878,9.23685513541155,5.90052057623923
"39",1989 Q3,11.0090073825821,9.56629439656478,9.24491495478064,5.90241362020212
"40",1989 Q4,11.0081359605014,9.55374218702658,9.25011928006944,5.90674423225393
"41",1990 Q1,11.0085984453147,9.56431948573951,9.25377147757392,5.90112109274713
"42",1990 Q2,11.009083997003,9.55421353884085,9.2629513907161,5.88828941556559
"43",1990 Q3,11.0069537924396,9.54046780810562,9.26714466334392,5.89751885313261
"44",1990 Q4,10.9938496669801,9.50065334246591,9.29070241808752,5.8872728557086
"45",1991 Q1,10.9849296434784,9.47182530601842,9.31044598351275,5.87743105597681
"46",1991 Q2,10.9909181374941,9.47457263227862,9.31740769958891,5.87649350094457
"47",1991 Q3,10.9943845921632,9.48430072895768,9.31211518063509,5.87079475948301
"48",1991 Q4,10.9935961993164,9.49264571103549,9.30511055202644,5.87023039803795
"49",1992 Q1,11.0062422405042,9.49365102008847,9.31461964241861,5.87405174887387
"50",1992 Q2,11.0153040167071,9.51994316815669,9.30813599368587,5.86612007522721
"51",1992 Q3,11.0240957550084,9.52258075555608,9.32129555550029,5.86901827194234
"52",1992 Q4,11.0324052934476,9.53937626894761,9.31192634728506,5.86948469514201
"53",1993 Q1,11.0331010248962,9.54764961915405,9.29022185861508,5.87489110152071
"54",1993 Q2,11.0385759439773,9.55939788370734,9.28032592699135,5.88004566891208
"55",1993 Q3,11.0408352464087,9.55371822628701,9.27566632305381,5.88123297762422
"56",1993 Q4,11.0516184922039,9.58807942264223,9.26899613607821,5.8861943812504
"57",1994 Q1,11.0599457495787,9.60357089901739,9.25518672070711,5.87958793368533
"58",1994 Q2,11.0708059346757,9.636140454037,9.25067382117286,5.89796987771041
"59",1994 Q3,11.0748499150297,9.63487090169867,9.26451920820016,5.89686934604585
"60",1994 Q4,11.0851485278483,9.66093103806917,9.24863928715309,5.89623627079244
"61",1995 Q1,11.0863751428307,9.66533409892197,9.24526324507389,5.90644648579981
"62",1995 Q2,11.0884227103954,9.65434458915185,9.2485708569804,5.89257062768958
"63",1995 Q3,11.0962161835232,9.65138767977479,9.26837234014901,5.90498349781586
"64",1995 Q4,11.1014337818489,9.66459487851195,9.2546247918048,5.90343414464004
"65",1996 Q1,11.1073910322091,9.6797513272459,9.23992447221722,5.88937254391758
"66",1996 Q2,11.1222917569611,9.7106177908814,9.24738532775364,5.90243813964694
"67",1996 Q3,11.1287069033017,9.7359694986973,9.22609037220351,5.91417392462626
"68",1996 Q4,11.1362291870498,9.73617823005702,9.25505499453206,5.91672698205219
"69",1997 Q1,11.1397889947842,9.74482722248888,9.23048288784215,5.91568705944173
"70",1997 Q2,11.1516388681627,9.77661958643142,9.24363312811108,5.92471227587876
"71",1997 Q3,11.1641284321584,9.79417877582251,9.22931233283654,5.92363983564968
"72",1997 Q4,11.1709685490058,9.8034730373277,9.21735693224488,5.92345654598169
"73",1998 Q1,11.1788357946651,9.82774929869322,9.18224332110826,5.92845288592102
"74",1998 Q2,11.1885658409229,9.83450136590021,9.16940770541839,5.92285313546494
"75",1998 Q3,11.1995729088528,9.85692994836432,9.15241044798909,5.92970097360667
"76",1998 Q4,11.2162805088502,9.88044831156771,9.16124950473495,5.9323552830246
"77",1999 Q1,11.2207684382948,9.89388409076584,9.1368697754877,5.93092244899008
"78",1999 Q2,11.229045209377,9.90159841008377,9.11782038326095,5.93428058731365
