quarter,gdp_bn,pce_bn,gpdi_bn,exports_bn,imports_bn,gvt_cons_exp_nom_bn,gvt_ginv_nom_bn,gvt_cons_real_bn,pce_dur_bn,pce_nondur_bn,pce_services_bn,defl_gov,defl_pce,defl_pce_dur,defl_nondur,defl_services,gvt_cons_exp_bn,fed_exc_tax_bn,state_sales_tax_bn,state_other_tax_bn,cons_fc_dur_bn,curr_cost_ns_bn,non_inst_pop,hours_worked
2015-07-01,17438.8,11972,3102.7,2379,3128,2626,631,3101.8,1317.2,2639.5,8424,105.003,103.415,93.207,97.56,107.126,3257,101.1,373.9,88.7,2930.911,,205757735.333333,73231841427.4063
2015-10-01,17456.2,12039.7,3056.9,2365.7,3125,2631.9,622,3107.1,1319.3,2620.8,8505,104.722,103.368,92.682,96.363,107.561,3253.8,102,376.6,88.9,2944.974,,205927759.666667,73441222173.2389
2016-01-01,17523.4,12111.8,3042.9,2351.1,3129,2626.3,636.4,3133.3,1323.7,2608.5,8594.3,104.129,103.424,92.252,95.082,108.166,3262.7,98.7,376.8,89.1,2953.542,,206463097.333333,74252620545.908
2016-04-01,17622.5,12214.1,3035.2,2370.9,3135,2648,630.2,3126.7,1336.3,2654,8716.2,104.846,104.031,91.659,95.815,108.947,3278.2,97.6,379.1,90.1,2979.571,,206670427.666667,74085358929.5369
2016-07-01,17706.7,12294.3,3032.2,2406.4,3172.6,2673.5,627.1,3134.4,1357.7,2656.3,8831.2,105.301,104.481,90.856,95.92,109.745,3300.5,99.1,382.9,92.9,3001.467,,206938508,74430377725.4757
2016-10-01,17784.2,12372.7,3091.7,2384.2,3220.9,2690.2,632.2,3135.6,1368.7,2680.1,8940.6,105.96,104.984,90.04,96.643,110.419,3322.4,100.2,384.8,93.8,3027.469,,207144113.333333,74421481617.1666
2017-01-01,17863,12427.6,3128.6,2413.3,3258.8,2709.3,637.1,3129.6,1375.6,2714.8,9023.7,106.928,105.524,90.073,97.435,110.967,3346.4,90.2,389.7,95.6,3064.947,,206622111,74532397823.277
2017-04-01,17995.2,12515.9,3172.1,2435,3279.1,2717.7,642.3,3130,1393.4,2723.7,9116.1,107.349,105.731,89.366,96.794,111.64,3360,91.4,393.6,96.7,3101.073,,206714584.666667,74750073855.219
2017-07-01,18120.8,12584.9,3239.8,2456.1,3302,2732.1,640.2,3121.8,1411.2,2754.8,9193.1,108.026,106.152,88.835,97.345,112.198,3372.3,92.5,398.3,96.8,3134.769,,206949097,75156493244.3391
2017-10-01,18223.8,12706.4,3246,2495.9,3395.1,2765.9,653.2,3140.2,1445.7,2805.2,9328.3,108.883,106.869,88.336,98.162,113.117,3419.1,92.6,401.2,99.4,3163.907,,207057971.333333,75741645326.5336
2018-01-01,18324,12722.8,3321,2517.8,3420.1,2797,659.8,3152.2,1434.5,2833.2,9411.9,109.664,107.52,88.099,99.113,113.836,3456.8,106.9,406.1,101.9,3203.431,,,
2018-04-01,18511.6,12842,3316.7,2574.2,3415.2,2831,675.6,3171.8,1458.7,2870.8,9546.1,110.554,108.049,87.753,99.451,114.602,3506.6,106,411.6,103.6,3253.845,,,
2018-07-01,18671.5,12968.5,3412.1,2551.2,3490.2,2858.9,693.5,3197.5,1479.3,2907.3,9680.7,111.099,108.472,87.526,99.437,115.307,3552.3,106,416.9,105.5,3296.353,,,
